,ID,Name,Location,Grade,Faculty_Title,"Join
Date",Study_Type,Divison,Reports To,"Highest
Qualification
Level",Highest Qualification,Major,University,Courses Taught- Term 201510,MAJOR TEACHING FIELD,Criteria
0,LT9210743,Jim Hunter,London,FA,Faculty - Business,29-Aug-10,Full Time,Business,Abbas Houda,Masters,Master of Arts,International Affairs,American Universityersity of Beirut,"BUS2403 - Innovation & Entrepreneurship
BUS2003 - Business and Commercial Law
LSG2013 - Globalization, Media & Soc
BUS1003 - Management and Leadership",Business Administration,Industry and Teaching experience
1,LT9001784,Jose Nadal,London,FA,Faculty - Business,19-Aug-99,Full Time,Business,Abbas Houda,Masters,Master of Science,Business Information Technology,Universityersity of Northumbria,"BUS4173 - Managerial Accounting II
BUS4916 - Integrative Industry Projectect
BUS4163 - Taxation
BUS4133 - Managerial Accounting I",Business,Certification
2,LT9062955,Pierre Cornet,London,FA,Faculty - Business,08-Apr-07,Full Time,Business,Abbas Houda,Masters,Master of Business Administration,Marketing,Griffith Universityersity,"BUS3903 - Contemporary Business
BUS1303 - Marketing",Marketing and Strategic Management ,Industry and Teaching experience
3,LT0000000,Sally Smith,London,FA,Faculty - Business,14-Aug-16,Full Time,Business,Abbas Houda,Ph.D,Ph.D in HRM/ Organizational pyschology,Human Resource management or Organizational Psychology,"The Universityersity of Swansea, UK","HRM, Organizational behaviour, Strategic Management, project mgt, Risk mgt",Human Resource Management,Researcher
4,LT0000000,Ned Shearer ,London,FSA,Faculty - Business,14-Aug-16,Full Time,Business,Tony Emmanuel,Ph.D,Ph.D in Economics and International Business ,Economics and International Business ,"New York Universityersity, USA","Micro and Macroeconomics, Statistics,Introduction to Business",Economics and International Business ,Researcher or Curriculum Development
5,LT9329000,Bill Lister,Liverpool,FA,Faculty - Business,10-Aug-15,Full Time,Business,Abbas Houda,Doctorate,Ph.D in Business Administration,Business Administration,Swiss Management Center,"BUS3103 - Internat Busi Globalisation
BUS1303 - Marketing
BUS4543 - Quality Management Tools
BUS2103 - Operations Management",Business,Industry and Teaching experience
6,LT9308851,Phil Woodley,Liverpool,FA,Faculty - Business (Admin),08-Mar-15,Full Time,Business,Abbas Houda,Masters,Master of Business Administration,Health Administration,Universityersity of Ottawa,"BUS2403 - Innovation & Entrepreneurship
BUS2303 - Financial Management
BUS1303 - Marketing
BUS2103 - Operations Management",Business,Industry and Teaching experience
7,LT9231337,Terry Hamilton,Liverpool,FA,Faculty - Business,14-Aug-11,Full Time,Business,Abbas Houda,Doctorate,Doctorate in Business Administration,Business Management,Lyceum Of The Philippines,"BUS4956 - Integrative Industry Projectect
BUS3903 - Contemporary Business
BUS1403 - Business Ethics and Corporate
BUS4543 - Quality Management Tools","Business Management
Corporate Governance",Industry and Teaching experience
8,LT9280242,Raj Patel,Liverpool,FA,Faculty - Business,02-Feb-14,Full Time,Business,Abbas Houda,Masters,Master of Business Administration,Business Management,The Universityersity of Newcastle,"BUS3103 - Internat Busi Globalisation
BUS2203 - Business Stats for Managers
BUS2913 - Sustaining Cultural Identity",General Business or Hospitality,Industry and Teaching experience
9,LT9053151,Houda Musa,Liverpool,FA,Faculty - Business,20-Mar-11,Full Time,Business,Abbas Houda,Bachelor,Bachelor of Applied Science,Business General Administration,Universityersity College London,BUS4956 - Integrative Industry Projectect,Business ,Industry and Teaching experience
